country,country_code,year,gdp_per_capita_ppp
Brazil,BRA,1990,12633.288457041
Brazil,BRA,1991,12546.5605015305
Brazil,BRA,1992,12271.9788488259
Brazil,BRA,1993,12669.428721959
Brazil,BRA,1994,13202.9308022136
Brazil,BRA,1995,13550.4393746368
Brazil,BRA,1996,13641.6296006557
Brazil,BRA,1997,13896.6249911865
Brazil,BRA,1998,13737.7026444226
Brazil,BRA,1999,13602.4137078439
Brazil,BRA,2000,14005.347188511
Brazil,BRA,2001,14016.1313783123
Brazil,BRA,2002,14265.9048781372
Brazil,BRA,2003,14259.3664100397
Brazil,BRA,2004,14911.2609620174
Brazil,BRA,2005,15221.0138293364
Brazil,BRA,2006,15657.4795729144
Brazil,BRA,2007,16440.5837413089
Brazil,BRA,2008,17113.3679835935
Brazil,BRA,2009,16939.4407823485
Brazil,BRA,2010,18062.1581117688
Brazil,BRA,2011,18627.8104543865
Brazil,BRA,2012,18832.2195541702
Brazil,BRA,2013,19241.5059830671
Brazil,BRA,2014,19183.172746126
Brazil,BRA,2015,18357.0690632249
Brazil,BRA,2016,17620.9272447823
Brazil,BRA,2017,17724.4799591551
Brazil,BRA,2018,17917.7492137276
Brazil,BRA,2019,18018.6209165513
Brazil,BRA,2020,17327.5157262925
Brazil,BRA,2021,18075.7060063108
Brazil,BRA,2022,18554.0461842977
Brazil,BRA,2023,19018.2390697496
China,CHN,1990,1645.57894422689
China,CHN,1991,1773.63941146097
China,CHN,1992,2001.25427432785
China,CHN,1993,2253.05201995372
China,CHN,1994,2518.15488829059
China,CHN,1995,2763.79976168459
China,CHN,1996,3006.36270788632
China,CHN,1997,3250.61457325231
China,CHN,1998,3472.17856130428
China,CHN,1999,3705.97720676034
China,CHN,2000,3989.06189555851
China,CHN,2001,4290.30208092921
China,CHN,2002,4650.89682139111
China,CHN,2003,5085.97783096768
China,CHN,2004,5567.19061247801
China,CHN,2005,6165.18344017524
China,CHN,2006,6910.75785854773
China,CHN,2007,7853.09639538115
China,CHN,2008,8566.96485435217
China,CHN,2009,9325.65077925533
China,CHN,2010,10267.8056684447
China,CHN,2011,11187.1660995211
China,CHN,2012,11985.3171249131
China,CHN,2013,12830.3699705085
China,CHN,2014,13696.5174948492
China,CHN,2015,14575.9347897624
China,CHN,2016,15485.2130054608
China,CHN,2017,16461.069929896
China,CHN,2018,17490.1667301804
China,CHN,2019,18465.298945245
China,CHN,2020,18833.7847033116
China,CHN,2021,20406.7296584605
China,CHN,2022,21011.6171309077
China,CHN,2023,22137.5998277466
France,FRA,1990,38655.885692544
France,FRA,1991,38937.9522507491
France,FRA,1992,39331.9041923584
France,FRA,1993,39020.6141468858
France,FRA,1994,39801.3889028634
France,FRA,1995,40570.7169546673
France,FRA,1996,40990.7395092066
France,FRA,1997,41876.9330251209
France,FRA,1998,43162.5423863738
France,FRA,1999,44400.1357748186
France,FRA,2000,45922.4789360909
France,FRA,2001,46454.8706885589
France,FRA,2002,46610.7820581168
France,FRA,2003,46730.9757904952
France,FRA,2004,47720.4413406357
France,FRA,2005,48257.4650809502
France,FRA,2006,49223.2471984629
France,FRA,2007,50157.7837387059
France,FRA,2008,50068.2968999457
France,FRA,2009,48404.9657859803
France,FRA,2010,49130.4229296548
France,FRA,2011,50085.6829803671
France,FRA,2012,49935.6269136244
France,FRA,2013,50066.5304377975
France,FRA,2014,50326.5678638035
France,FRA,2015,50682.8953528609
France,FRA,2016,50984.0752953575
France,FRA,2017,51895.5662913102
France,FRA,2018,52560.9536197931
France,FRA,2019,53448.5548867191
France,FRA,2020,49311.3333947367
France,FRA,2021,52517.3354905857
France,FRA,2022,53691.6174864288
France,FRA,2023,54017.8741632485
Germany,DEU,1990,42373.5294910572
Germany,DEU,1991,44214.7525778455
Germany,DEU,1992,44763.6627786576
Germany,DEU,1993,44037.5239228453
Germany,DEU,1994,45024.9926816982
Germany,DEU,1995,45568.6761548188
Germany,DEU,1996,45908.6634236029
Germany,DEU,1997,46691.8189050087
